Page, Total Adds
page_1, 32
ID, Title, Price, ProductionYear, Mileage, Power, Fuel, Link
6099130160,Mercedes-Benz Actros 1843 LS,157 000 PLN,2017,557 624 km,10 677 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1843-ls-adr-fl-w-tym-ex-ii-ex-iii-i-at-ID6ELkn6.html
6099647839,Mercedes-Benz Actros 1845 LS,55 000 EUR,2017,489 000 km,12 800 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-ls-pelny-adr-psm-aso-opony-80-ID6ENw2L.html
6099843786,Mercedes-Benz,53 800 EUR,2018,480 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-5xactros-standart-2018-ID6EOk1c.html
6099485068,Mercedes-Benz ACTROS  18.48   EURO 6  BICSPACE !!!,152 000 PLN,2016,633 916 km,12 419 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-18-48-euro-6-bicspace-ID6EMOHq.html
6096819607,Mercedes-Benz ACTROS,209 000 PLN,2016,560 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-leasing-do-przejecia-giga-space-air-bag-duza-navi-standard-ID6EBDi7.html
6099839518,Mercedes-Benz 1836 Actros E5 18.0t,73 000 PLN,2016,485 829 km,11 946 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-1836-actros-e5-18-0t-okazja-2016rok-ID6EOiUm.html
6084979636,Mercedes-Benz Actros,145 000 PLN,2016,745 000 km,450 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mercedes-benz-actros-2016-ciagnik-siodlowy-samochod-ciezarowy-mega-ID6DNXaQ.html
6099111146,Mercedes-Benz Actros,49 900 EUR,2017,550 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-rezerwacja-1848-standard-gigaspace-po-serwisie-bez-retatdera-ID6ELfqq.html
6099645436,Mercedes-Benz ACTROS 1843 / 2 ZBIORNIKI / 460 000 KM / Z FRANCJI / STAN BDB / / /,129 900 PLN,2016,460 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1843-2-zbiorniki-460-000-km-z-francji-stan-bdb-ID6ENuq0.html
6097913077,Mercedes-Benz Actros 1845 LS * Klima Postojowa * Stan perfekcyjny,285 000 PLN,2017,437 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-ls-klima-postojowa-stan-perfekcyjny-import-de-po-kontrakcie-serwisowym-ID6EGdKJ.html
6098176292,Mercedes-Benz Actros,76 500 EUR,2019,281 440 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-big-space-salon-pl-1845-mp5-zbiorniki-1420l-ID6EHke8.html
6098228389,Mercedes-Benz Actros,88 000 EUR,2020,190 108 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mp-5-salon-pl-1845-ID6EHxMp.html
6098196904,Mercedes-Benz Actros,88 000 EUR,2020,193 370 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mp-5-salon-pl-1845-ID6EHpAA.html
6096266748,Mercedes-Benz Actros 1848,298 000 PLN,2018,448 539 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1848-bigspace-480-km-gotowy-do-jazdy-ID6Ezjt2.html
6099832272,Mercedes-Benz Actros,86 000 PLN,2014,583 787 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-actros-ID6EOh1u.html
6098167256,Mercedes-Benz Actros,39 000 EUR,2016,623 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1848-ls-hydraulika-bigspace-bez-retardera-po-serwisie-ID6EHhSo.html
6094784741,Mercedes-Benz ACTROS 1851 / STREAM SPACE / EURO 6 /,129 900 PLN,2014,710 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1851-stream-space-euro-6-ID6Et5WH.html
6094458038,Mercedes-Benz ACTROS 1848 / STREAM SPACE / RETARDER / EURO 6 /,129 900 PLN,2014,650 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1848-stream-space-retarder-euro-6-ID6ErIVi.html

Page, Total Adds
page_3, 32
ID, Title, Price, ProductionYear, Mileage, Power, Fuel, Link
6099830007,Mercedes-Benz 1845,60 000 EUR,2018,460 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-1845-ls-standard-bigspace-bez-retardera-po-serwisie-ID6EOgqX.html
6099829955,Mercedes-Benz Actros 1845 LS 4x2 BigSpace,64 100 EUR,2019,522 043 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-ls-4x2-bigspace-ID6EOgq7.html
6099829945,Mercedes-Benz Actros 1845 LS 4x2 BigSpace,29 800 EUR,2016,1 006 894 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-ls-4x2-bigspace-ID6EOgpX.html
